Channel,Acc,Confusion Matrix,PPV,SEN,SPE,F1
1,61.22,"[[129 271]
 [ 78 422]]",64.58,32.55,84.4,42.43
2,63.33,"[[193 207]
 [123 377]]",62.0,48.37,75.4,54.0
3,74.44,"[[271 129]
 [101 399]]",73.69,68.17,79.8,70.34
4,77.89,"[[325  75]
 [124 376]]",72.14,80.78,75.2,76.14
5,57.56,"[[117 283]
 [ 99 401]]",57.08,30.15,80.2,37.08
6,83.11,"[[278 122]
 [ 30 470]]",90.31,69.67,94.0,78.62
7,54.33,"[[ 20 380]
 [ 31 469]]",30.0,5.48,93.8,8.38
8,85.89,"[[317  83]
 [ 44 456]]",87.75,79.27,91.2,83.16
9,81.78,"[[296 104]
 [ 60 440]]",83.06,73.91,88.0,78.09
10,58.67,"[[ 99 301]
 [ 71 429]]",63.71,25.39,85.8,34.25
11,82.22,"[[249 151]
 [  9 491]]",96.48,62.15,98.2,75.52
12,63.78,"[[170 230]
 [ 96 404]]",63.77,42.41,80.8,50.89
13,70.67,"[[273 127]
 [137 363]]",66.84,68.6,72.6,67.49
14,75.56,"[[254 146]
 [ 74 426]]",78.1,63.65,85.2,69.66
15,65.44,"[[136 264]
 [ 47 453]]",75.53,34.23,90.6,46.25
16,83.67,"[[369  31]
 [116 384]]",76.06,92.31,76.8,83.32
17,60.56,"[[120 280]
 [ 75 425]]",62.01,30.43,85.0,40.1
18,70.89,"[[325  75]
 [187 313]]",63.86,81.57,62.6,71.2
19,70.0,"[[211 189]
 [ 81 419]]",72.24,53.22,83.8,60.87
20,72.89,"[[233 167]
 [ 77 423]]",75.19,58.43,84.6,65.57
