Channel,Acc,Confusion Matrix,PPV,SEN,SPE,F1
1,61.44,"[[132 268]
 [ 79 421]]",63.34,33.24,84.2,43.29
2,55.56,"[[  0 400]
 [  0 500]]",0.0,0.0,100.0,0.0
3,62.44,"[[ 81 319]
 [ 19 481]]",82.51,20.59,96.2,32.4
4,64.33,"[[182 218]
 [103 397]]",63.8,45.65,79.4,53.0
5,58.33,"[[ 64 336]
 [ 39 461]]",64.75,16.07,92.2,25.17
6,82.67,"[[288 112]
 [ 44 456]]",86.75,72.2,91.2,78.68
7,55.78,"[[189 211]
 [187 313]]",40.22,49.06,62.6,43.79
8,82.89,"[[302  98]
 [ 56 444]]",84.8,75.44,88.8,79.48
9,83.22,"[[306  94]
 [ 57 443]]",84.39,76.68,88.6,80.08
10,55.56,"[[  0 400]
 [  0 500]]",0.0,0.0,100.0,0.0
11,71.56,"[[240 160]
 [ 96 404]]",71.71,60.04,80.8,65.19
12,54.89,"[[ 17 383]
 [ 23 477]]",45.58,4.26,95.4,7.4
13,57.67,"[[ 48 352]
 [ 29 471]]",68.86,12.15,94.2,20.12
14,55.56,"[[  0 400]
 [  0 500]]",0.0,0.0,100.0,0.0
15,55.67,"[[ 12 388]
 [ 11 489]]",22.0,3.16,97.8,5.36
16,76.89,"[[326  74]
 [134 366]]",70.9,81.79,73.2,75.89
17,57.0,"[[ 54 346]
 [ 41 459]]",59.69,13.52,91.8,21.73
18,71.89,"[[240 160]
 [ 93 407]]",72.02,59.87,81.4,65.28
19,60.0,"[[174 226]
 [134 366]]",56.71,43.92,73.2,49.15
20,69.11,"[[233 167]
 [111 389]]",68.32,58.93,77.8,62.58
